HCPCS_Cd,statistic,p_value,median_ratio,p_adj,reject,median_percent_difference
11044,16692.5,0.6429764383734099,1.0265700483091786,1.0,False,2.657004830917864
11045,295205.5,0.3799979684475856,0.9423076923076923,0.7618752728991015,False,-5.769230769230771
11046,15577.0,0.15561091858445114,0.9696969696969697,0.4337980356069336,False,-3.0303030303030276
11055,2843043.5,0.9136728284495279,1.015790058934727,1.0,False,1.579005893472707
11056,4057469.5,0.9908860834539939,1.0252907118182262,1.0,False,2.5290711818226175
11057,291093.0,0.8419771006804966,1.055046962311259,1.0,False,5.504696231125905
11102,18995888.0,0.9999999904295752,1.0128330084470434,1.0,False,1.2833008447043381
11103,10049111.0,0.9974746889873427,1.0186480186480187,1.0,False,1.8648018648018683
11104,2492697.0,0.12517215208046362,0.972850107336785,0.37035104127721924,False,-2.714989266321499
11105,64974.5,0.9996781189384302,1.0991869918699189,1.0,False,9.918699186991887
11106,4597.0,0.9756192491148593,1.0268091702700497,1.0,False,2.68091702700497
11200,163792.0,0.06584432811380593,0.9746793817823085,0.22923013764271508,False,-2.5320618217691493
11300,97666.5,0.3572532106495179,0.9769535129340922,0.7404349270619475,False,-2.304648706590784
11301,323076.0,0.44882871237168587,0.9979879275653922,0.8315551762628882,False,-0.201207243460777
11302,94872.0,0.02977261408084036,0.9767211490837049,0.12111305238863593,False,-2.3278850916295113
11305,39734.5,0.899644367182237,1.0325169503251697,1.0,False,3.251695032516966
11306,81472.5,0.707354285629153,1.006964265327092,1.0,False,0.6964265327092045
11307,22699.5,0.8136924399096441,1.032258064516129,1.0,False,3.2258064516129004
11310,58430.5,0.9860517308950993,1.0196078431372548,1.0,False,1.9607843137254832
11311,76118.0,0.3059846467618184,0.9917355371900825,0.6715534234369566,False,-0.826446280991755
11312,15556.0,0.39488559188797756,1.0033444816053512,0.7788454954628491,False,0.33444816053511683
11401,13573.5,0.15304723063615172,0.9772727272727272,0.4282461761912507,False,-2.272727272727282
11402,211906.0,0.009800776406437627,0.9921722113502937,0.050592283725645275,False,-0.7827788649706346
11403,7900.5,0.7298831268318856,1.014692730292577,1.0,False,1.4692730292577005
11422,2785.5,0.7352872269224164,1.015022624434389,1.0,False,1.5022624434388954
11442,1652.0,0.5293738097123182,1.0,0.9099353156908757,False,0.0
11601,3014.5,0.89290828130201,1.005952380952381,1.0,False,0.5952380952380931
11602,1532704.5,0.17077032357116206,0.9946524064171123,0.4685726474906541,False,-0.5347593582887722
11603,533819.0,0.5406075075300549,1.0,0.9186032222162227,False,0.0
11604,14045.5,0.28203868822201916,0.9876543209876543,0.6417904452941927,False,-1.2345679012345734
11606,4715.5,0.013522959530220813,0.9870311815926448,0.06551414374349694,False,-1.2968818407355198
11622,50930.5,0.8755135771348801,1.0087719298245614,1.0,False,0.8771929824561431
11623,3238.0,0.6913086562890207,1.0060975609756098,1.0,False,0.6097560975609762
11641,5128.5,0.7378342041450486,1.0022271714922049,1.0,False,0.22271714922048602
11642,69921.0,0.04425530187322965,0.9854166666666667,0.1677219921625944,False,-1.4583333333333282
11643,5108.5,0.13234591513384192,0.9807692307692308,0.38847418618698304,False,-1.9230769230769162
11719,306803.0,0.8768337094789109,1.025913338997451,1.0,False,2.5913338997451074
11720,2382729.5,0.22014329254807985,0.9743589743589742,0.5576218425456438,False,-2.564102564102577
11721,10577880.0,0.3502341151544478,0.9846991319699868,0.7300521061578864,False,-1.5300868030013182
11730,772167.0,0.9999986565267828,1.0175438596491226,1.0,False,1.754385964912264
11732,2217.0,0.5301689250807435,1.0033444816053512,0.9099353156908757,False,0.33444816053511683
11750,700552.0,2.317207837280926e-05,0.9744623655913978,0.00023280940485970108,True,-2.553763440860224
11755,25540.0,0.6398345450549835,1.009709040959041,1.0,False,0.9709040959041015
11765,6062.0,0.5988768601524707,1.0057487627957427,0.9725055706193656,False,0.5748762795742657
11900,1207743.5,0.9983907857207108,1.0338345864661656,1.0,False,3.383458646616555
11901,4908.0,0.8724835118552441,1.180286407878244,1.0,False,18.0286407878244
12001,7285.5,0.5839099229454967,1.0,0.9616206321775671,False,0.0
12002,3216.5,0.6572910398428533,1.0,1.0,False,0.0
12031,69029.5,0.25817101496338185,1.0,0.612491298573982,False,0.0
12032,2227706.0,0.06794251624567618,0.9955555555555555,0.23539684249318557,False,-0.4444444444444473
12034,18768.0,0.3165019402769489,0.9859154929577465,0.6856778648257489,False,-1.4084507042253502
12041,1414.5,0.08955720608488704,1.0,0.2862268297351635,False,0.0
12042,136388.5,0.44257678289374236,1.0,0.8246077307074845,False,0.0
12051,40239.0,0.017944981363035174,1.0,0.08291246018661622,False,0.0
12052,163627.0,0.13402295849014667,0.9939373652787917,0.39109432753063944,False,-0.6062634721208271
12053,5813.0,0.10067057062836238,1.0,0.3113715789889638,False,0.0
13101,185279.5,0.0010659545566017016,0.9866071428571429,0.007635090771448552,True,-1.3392857142857095
13121,510655.5,0.11174627238748513,0.9948979591836735,0.33931880276686666,False,-0.5102040816326481
13122,5700.0,0.6570817413518595,1.006993006993007,1.0,False,0.6993006993007089
13131,24419.0,0.26208578342160394,1.0,0.6149567676836067,False,0.0
13132,416726.0,0.14580829320525773,0.995530272247054,0.41261817566780873,False,-0.4469727752945962
13151,19483.5,0.1909594278145612,1.0,0.5030034976968248,False,0.0
13152,67644.5,0.011242978701087591,1.0,0.05610246371842708,False,0.0
14020,2601.0,0.36901688252528153,0.9635627530364371,0.7516972753620861,False,-3.6437246963562875
14021,5105.5,0.1853720258814317,0.9757575757575757,0.4935757324576713,False,-2.4242424242424288
14040,48066.5,0.2045194876953111,0.9899999999999999,0.5287835459065297,False,-1.000000000000012
14041,37520.0,0.36712241530622847,0.9939393939393939,0.7516972753620861,False,-0.60606060606061
14060,164886.0,0.5711299629718133,1.0,0.9531566940566382,False,0.0
14061,23819.5,0.12348984478345904,1.0,0.3682555729897175,False,0.0
14301,31268.5,0.86442598693374,1.021100047415837,1.0,False,2.110004741583693
15004,7045.0,0.1251580425148348,0.98072733366851,0.37035104127721924,False,-1.9272666331490051
15260,61988.0,0.9784888512915778,1.0,1.0,False,0.0
15271,114422.5,0.21632686928099504,0.9738587592664845,0.5516887961050247,False,-2.6141240733515536
15275,51633.5,0.17567508693496542,0.8979591836734695,0.47470325837841737,False,-10.20408163265305
15823,144098.0,0.24181514719169922,1.0,0.58820559699062,False,0.0
17000,30929282.5,1.0,1.0238828567720724,1.0,False,2.388285677207236
17003,21827160.5,0.996241492909288,1.0086239999369155,1.0,False,0.8623999936915538
17004,5827089.5,0.9996244434254506,1.0171016688474164,1.0,False,1.7101668847416374
17110,21424350.5,0.9999585640468432,1.0119047619047619,1.0,False,1.1904761904761862
17111,401175.5,0.997176468192386,1.0289473684210526,1.0,False,2.894736842105261
17250,125208.5,0.9082985588049288,1.0493236658829,1.0,False,4.932366588289994
17260,5663.0,0.8179919617590214,1.0325153374233131,1.0,False,3.251533742331314
17261,400967.5,0.9456284066719269,1.0219667943805875,1.0,False,2.196679438058746
